itemid,ID,
catid,栏目ID,
areaid,地区ID,
level,级别,
title,标题,
style,颜色,
fee,收费价格,
subtitle,分页子标题,
introduce,内容简介,
tag,关键词,
keyword,搜索词,模糊搜索字段
pptword,分类属性,
author,作者,
copyfrom,来源,
fromurl,来源链接,
voteid,投票ID,可以插入投票
hits,点击次数,
thumb,标题图片,
username,会员名,
addtime,添加时间,
editor,编辑,
edittime,修改时间,
ip,IP,
template,内容模版,
status,状态,0回收站 1未通过 2待审核 3已通过 4已过期
islink,是否为外部链接,
linkurl,链接地址,
filepath,自定义文件路径,
note,备注,
starttime,成立时间,
lianxiren,联系人,
tel,办公电话,
mobiles,联系电话,
chuanzhen,传真号码,
yearyye,年度营业额,
ldzj,流动资金,
pps,代理品牌数,
xiaoshou,销售人员,
monthmoney,月均销售额,
cangchu,仓储面积,
wlcl,物流车辆,
wdsl,网店数量,
ckdz,仓库地址,
fhdz,发货地址,
pimg,产品精美图,
qudao,渠道,